"","Intervalo","Tipo de etapa","Volta","Tempo","Tempo acumulado","Distância","Ritmo médio","FC Média","FC máxima","Subida total","Descida total","Cadência de corrida média","Comprimento médio da passada","Calorias","Melhor ritmo","Cadência de corrida máxima","Tempo em movimento","Ritmo movimentação médio"
"","","Aquecimento","1 - 2","10:00","10:00","1.51","6:36","175","201","38","48","161","0.94","106","5:02","178","9:47","6:28"
"","1","Corrida","3","0:32.1","10:32","0.01","38:35","198","201","0","0","43","0.60","6","9:24","122","0:15","18:03"
"","2","Corrida","4","0:20","10:52","0.08","4:07","191","194","0","1","160","1.52","4","3:13","212","0:15","3:05"
"","","Recuperação","5","0:45","11:37","0.09","8:35","201","203","3","3","96","1.21","10","3:15","203","0:29","5:32"
"","3","Corrida","6","0:20","11:57","0.10","3:27","198","202","2","0","181","1.59","5","2:59","205","0:20","3:27"
"","","Recuperação","7","0:45","12:42","0.09","8:23","204","206","3","2","114","1.05","11","3:06","204","0:34","6:20"
"","4","Corrida","8","0:20","13:02","0.10","3:24","203","209","0","2","171","1.73","5","3:12","204","0:20","3:24"
"","","Recuperação","9","0:45","13:47","0.08","8:59","205","210","0","5","95","1.17","11","3:10","205","0:36","7:11"
"","5","Corrida","10","0:20","14:07","0.10","3:25","199","200","3","0","163","1.79","5","2:55","206","0:17","2:54"
"","","Recuperação","11","0:45","14:52","0.08","8:50","203","205","1","3","127","0.89","10","3:02","203","0:31","6:05"
"","6","Corrida","12","0:20","15:12","0.10","3:22","200","203","0","0","155","1.91","5","3:00","207","0:20","3:22"
"","","Recuperação","13","0:45","15:57","0.08","9:39","206","207","1","0","128","0.81","11","3:11","235","0:24","5:09"
"","7","Corrida","14","0:20","16:17","0.11","3:03","204","206","0","0","164","2.00","5","2:49","235","0:20","3:03"
"","","Recuperação","15","0:45","17:02","0.07","10:51","207","209","0","0","105","0.88","11","2:51","213","0:28","6:45"
"","8","Corrida","16","0:20","17:22","0.10","3:15","203","205","1","0","166","1.85","5","2:55","211","0:20","3:15"
"","","Recuperação","17","0:45","18:07","0.08","9:59","208","209","4","4","92","1.09","11","2:55","211","0:42","9:19"
"","9","Corrida","18","0:20","18:27","0.11","3:08","207","208","0","3","191","1.67","5","2:59","211","0:16","2:30"
"","","Recuperação","19","0:45","19:12","0.06","12:57","208","213","5","1","70","1.11","11","3:03","208","0:26","7:29"
"","","Desaquecimento","20 - 21","19:57","39:09","1.59","12:32","141","203","68","63","94","0.85","128","6:00","170","17:12","10:49"
"","Resumo","--","--","39:09","39:09","4.53","8:38","164","213","24","23","117","0.96","352","2:49","235","35:39","7:52"